product_key,category,subcategory,product_name,ratings
10001335,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,3.88
10002813,Technology,Copiers,Canon PC1060 Personal Laser Copier,3.82
10002185,Technology,Accessories,KeyTronic KT800P2 - Keyboard - Black,3.7
10004065,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,
10002868,Furniture,Bookcases,"Hon Metal Bookcases, Gray",4.06
10002772,Office Supplies,Binders,Cardinal Slant-D Ring Binders,3.54
10004514,Furniture,Furnishings,"Eldon Imàge Series Desk Accessories, Clear",3.78
10001938,Technology,Phones,Spigen Samsung Galaxy S5 Case Wallet,4.15
10000181,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,3.27
10003912,Office Supplies,Binders,Acco D-Ring Binder w/DublLock,3.84
10003423,Technology,Accessories,Case Logic 2.4GHz Wireless Keyboard,3.41
10004738,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,3.23
10003528,Furniture,Chairs,Hon Mobius Operator's Chair,4.32
10002078,Furniture,Tables,Bevis 44 x 96 Conference Tables,3.88
10001178,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,3.98
10004523,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,4.2
10003951,Technology,Phones,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,4.28
10002751,Office Supplies,Envelopes,Staple envelope,3.76
10002973,Office Supplies,Appliances,Harmony Air Purifier,3.77
10004532,Technology,Accessories,Maxell 4.7GB DVD-R,3.87
10003711,Office Supplies,Paper,Xerox 207,4.31
10000704,Furniture,Tables,Chromcraft Round Conference Tables,3.67
10001294,Office Supplies,Art,Newell 320,3.81
10003765,Furniture,Tables,Bevis Boat-Shaped Conference Table,3.74
10002458,Office Supplies,Appliances,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,3.27
10000841,Office Supplies,Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,4.48
10000770,Office Supplies,Paper,"Adams Telephone Message Books, 5 1/4” x 11”",3.48
10002409,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",3.38
10000366,Office Supplies,Storage,Akro-Mils 12-Gallon Tote,3.56
10002667,Furniture,Furnishings,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,3.91
10003082,Office Supplies,Storage,Tennsco Commercial Shelving,3.52
10001303,Technology,Accessories,WD My Passport Ultra 500GB Portable External Hard Drive,3.78
10000282,Office Supplies,Fasteners,Advantus SlideClip Paper Clips,3.53
10002488,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",2.07
10000020,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",3.29
10002553,Furniture,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",2.1
10000185,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,3.42
10002453,Office Supplies,Binders,Acco Hanging Data Binders,3.92
10001863,Office Supplies,Storage,Fellowes Officeware Wire Shelving,3.08
10002262,Furniture,Chairs,"Safco Chair Connectors, 6/Carton",3.89
10003619,Technology,Copiers,Sharp AL-1530CS Digital Copier,3.92
10003461,Technology,Phones,AT&T CL83451 4-Handset Telephone,3.89
10003507,Technology,Accessories,SanDisk Cruzer 16 GB USB Flash Drive,3.45
10002064,Furniture,Chairs,SAFCO Arco Folding Chair,3.32
10000614,Office Supplies,Appliances,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,3.9
10000383,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",3.55
10002114,Technology,Phones,Plantronics Voyager Pro HD - Bluetooth Headset,3.65
10000382,Office Supplies,Paper,Xerox 1958,3.92
10002290,Furniture,Furnishings,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",3.98
10002872,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,3.09
10000041,Technology,Phones,Panasonic Kx-TS550,3.68
10000528,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,3.44
10001941,Furniture,Tables,Bevis Rectangular Conference Tables,3.33
10003327,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",3.56
10004346,Office Supplies,Storage,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black",4.22
10004616,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",3.8
10002135,Furniture,Chairs,Hon Olson Stacker Stools,3.04
10003779,Office Supplies,Storage,Advantus Rolling Drawer Organizers,4.05
10004379,Office Supplies,Paper,Xerox 1886,3.97
10003288,Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,3.38
10002782,Office Supplies,Paper,HP Office Paper (20Lb. and 87 Bright),3.89
10001217,Office Supplies,Paper,Xerox 1934,3.28
10002788,Office Supplies,Envelopes,Staple envelope,2.91
10003441,Technology,Phones,iOttie HLCRIO102 Car Mount,3.31
10002910,Furniture,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,3.55
10004341,Office Supplies,Fasteners,Acco Hot Clips Clips to Go,3.5
10004816,Office Supplies,Appliances,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",3.65
10004825,Furniture,Bookcases,Sauder Camden County Collection Library,3.79
10000653,Technology,Accessories,Imation Bio 8GB USB Flash Drive Imation Corp,3.97
10003182,Furniture,Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,4.47
10004699,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,4.04
10000023,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",3.65
10003146,Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,3.89
10001621,Furniture,Furnishings,Longer-Life Soft White Bulbs,3.86
10003416,Furniture,Tables,Hon Racetrack Conference Tables,3.84
10004547,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",3.26
10004710,Office Supplies,Binders,Accohide Poly Flexible Ring Binders,3.81
10002780,Office Supplies,Binders,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",3.95
10004674,Office Supplies,Binders,Ibico Standard Transparent Covers,4.14
10003341,Furniture,Tables,Riverside Furniture Stanwyck Manor Table Series,3.51
10002580,Office Supplies,Paper,Spiral Phone Message Books with Labels by Adams,3.63
10000894,Furniture,Furnishings,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,3.39
10001052,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles,4.27
10003562,Technology,Phones,Lunatik TT5L-002 Taktik Strike Impact Protection System for iPhone 5,4.1
10003565,Office Supplies,Paper,Astroparche Fine Business Paper,3.64
10002229,Furniture,Furnishings,"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",4.05
10001406,Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),3.06
10004534,Office Supplies,Art,Newell 325,3.8
10001751,Office Supplies,Art,"Sanford Colorific Scented Colored Pencils, 12/Pack",3.44
10003594,Technology,Accessories,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,3.9
10001234,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",3.84
10001844,Furniture,Chairs,Global Super Steno Chair,3.26
10000947,Office Supplies,Paper,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",4.01
10001662,Furniture,Furnishings,Advantus Panel Wall Acrylic Frame,3.01
10002648,Office Supplies,Binders,Wilson Jones Active Use Binders,3.96
10004568,Office Supplies,Binders,Pressboard Hanging Data Binders for Unburst Sheets,3.49
10002799,Furniture,Furnishings,3M Polarizing Light Filter Sleeves,3.9
10000317,Technology,Accessories,Logitech Wireless Headset h800,3.98
10004589,Technology,Phones,Motorola L703CM,3.65
10003988,Furniture,Furnishings,OIC Stacking Trays,3.68
10001864,Technology,Accessories,Logitech G35 7.1-Channel Surround Sound Headset,3.6
10003774,Office Supplies,Binders,UniKeep View Case Binders,4.04
10000904,Office Supplies,Art,Boston 16801 Nautilus Battery Pencil Sharpener,3.73
10001072,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,3.68
10001359,Office Supplies,Labels,Avery 518,3.45
10004380,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,3.93
10002773,Furniture,Furnishings,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",4.03
10003114,Office Supplies,Paper,Xerox 1956,4.28
10000408,Furniture,Furnishings,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",4.34
10002621,Office Supplies,Paper,Xerox 1882,3.65
10001879,Office Supplies,Binders,Insertable Tab Indexes For Data Binders,3.08
10004177,Furniture,Chairs,Office Star Flex Back Scooter Chair with White Frame,3.68
10004733,Technology,Phones,Motorola L703CM,4.11
10002208,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",4.3
10002374,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",3.78
10002288,Furniture,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",3.83
10003037,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,3.44
10003499,Office Supplies,Binders,Wilson Jones Four-Pocket Poly Binders,3.81
10003088,Office Supplies,Fasteners,Staples,3.97
10001802,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,4.2
10001726,Office Supplies,Binders,GBC DocuBind P50 Personal Binding Machine,3.78
10004407,Technology,Phones,Cisco SPA508G,4.16
10001837,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,3.63
10001329,Office Supplies,Art,12 Colored Short Pencils,4.0
10000599,Technology,Accessories,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,4.09
10001287,Technology,Accessories,Logitech G700s Rechargeable Gaming Mouse,3.54
10002384,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",3.83
10002547,Office Supplies,Paper,Xerox 204,3.71
10000949,Office Supplies,Art,DIXON Ticonderoga Erasable Checking Pencils,2.96
10001996,Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,3.82
10001612,Technology,Phones,Cisco SPA 502G IP Phone,3.8
10001627,Furniture,Chairs,SAFCO Arco Folding Chair,3.75
10000414,Office Supplies,Art,Design Ebony Sketching Pencil,4.22
10000055,Office Supplies,Storage,Home/Office Personal File Carts,3.66
10002465,Technology,Phones,Classic Ivory Antique Telephone ZL1810,3.78
10000715,Furniture,Furnishings,Electrix Halogen Magnifier Lamp,3.07
10004171,Office Supplies,Art,SANFORD Major Accent Highlighters,3.64
10004692,Technology,Phones,AT&T CL2909,3.95
10001452,Furniture,Tables,KI Adjustable-Height Table,3.32
10000862,Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",3.85
10004669,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,3.57
10004144,Office Supplies,Paper,Xerox 1983,3.41
10003408,Office Supplies,Art,SANFORD Major Accent Highlighters,4.04
10004433,Office Supplies,Art,Newell 351,3.83
10002345,Office Supplies,Paper,Strathmore Photo Frame Cards,3.61
10004925,Office Supplies,Storage,Recycled Steel Personal File for Standard File Folders,3.6
10002269,Office Supplies,Binders,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",4.0
10003454,Office Supplies,Storage,Tennsco Industrial Shelving,3.7
10001124,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",3.67
10000824,Office Supplies,Paper,Xerox 1923,3.91
10000132,Office Supplies,Paper,Xerox 1880,3.63
10001980,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",3.71
10000168,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",3.83
10002936,Technology,Machines,Cisco Desktop Collaboration Experience DX650 IP Video Phone,4.11
10002040,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",4.26
10004848,Office Supplies,Appliances,Harmony Air Purifier,4.45
10001235,Office Supplies,Paper,Xerox 196,4.07
10004481,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,3.82
10003301,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,2.86
10003007,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,3.28
10002272,Office Supplies,Binders,VariCap6 Expandable Binder,4.14
10004657,Office Supplies,Appliances,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,3.66
10000355,Office Supplies,Supplies,Staple remover,4.13
10000393,Office Supplies,Paper,"Wirebound Message Book, 4 per Page",4.01
10004949,Technology,Phones,Avaya 5410 Digital phone,3.87
10000696,Office Supplies,Supplies,"Fiskars 8"" Scissors, 2/Pack",4.02
10003736,Office Supplies,Appliances,Staple holder,3.38
10002408,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,3.58
10003626,Office Supplies,Paper,Xerox 1905,4.42
10004799,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,3.72
10004605,Office Supplies,Paper,Easy-staple paper,4.2
10002204,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.48
10002214,Office Supplies,Paper,Xerox 1978,2.62
10003892,Technology,Phones,Nokia Lumia 925,3.99
10001687,Office Supplies,Art,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",3.65
10000515,Office Supplies,Binders,"Premier Elliptical Ring Binder, Black",1.48
10000373,Technology,Machines,Lexmark MarkNet N8150 Wireless Print Server,3.57
10001127,Office Supplies,Storage,Fellowes Bankers Box Stor/Drawer Steel Plus,3.19
10000031,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",3.72
10001810,Technology,Phones,Cisco SPA301,3.28
10003018,Office Supplies,Appliances,Holmes 99% HEPA Air Purifier,3.95
10001610,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,3.79
10004043,Office Supplies,Paper,Xerox 201,3.6
10003642,Office Supplies,Binders,GBC Instant Report Kit,3.77
10003813,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,3.11
10002127,Technology,Accessories,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,3.67
10001488,Office Supplies,Art,12 Colored Short Pencils,3.76
10000072,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",3.94
10000159,Office Supplies,Envelopes,Staple envelope,2.97
10000320,Office Supplies,Storage,"File Shuttle II and Handi-File, Black",4.42
10004264,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,3.07
10002020,Office Supplies,Storage,Fellowes Super Stor/Drawer Files,4.06
10002319,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,3.45
10003100,Office Supplies,Art,Newell 32,4.4
10000875,Office Supplies,Labels,Avery File Folder Labels,3.66
10004130,Office Supplies,Binders,Avery Poly Binder Pockets,4.11
10000954,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",3.43
10000449,Office Supplies,Supplies,Premier Electric Letter Opener,3.7
10003862,Furniture,Furnishings,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,3.75
10001025,Technology,Machines,Star Micronics TSP800 TSP847IIU Receipt Printer,3.52
10002369,Technology,Machines,Cubify CubeX 3D Printer Double Head Print,4.4
10000487,Office Supplies,Art,Newell 344,4.15
10003787,Technology,Phones,Cisco 8x8 Inc. 6753i IP Business Phone System,4.27
10002943,Office Supplies,Paper,Xerox 1966,3.61
10001363,Office Supplies,Binders,GBC Imprintable Covers,3.8
10004658,Office Supplies,Paper,Xerox 208,3.44
10001301,Office Supplies,Storage,X-Rack File for Hanging Folders,3.11
10001656,Office Supplies,Paper,Xerox 1978,4.0
10002136,Office Supplies,Art,Prang Drawing Pencil Set,3.97
10003377,Technology,Phones,Polycom SoundStation2 EX Conference phone,4.14
10003150,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",3.77
10004391,Furniture,Chairs,Harbour Creations Steel Folding Chair,3.91
10001993,Furniture,Furnishings,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,3.65
10001622,Office Supplies,Paper,Tops White Computer Printout Paper,3.88
10003632,Technology,Accessories,Imation 30456 USB Flash Drive 8GB,3.51
10003061,Furniture,Chairs,"Global Armless Task Chair, Royal Blue",4.04
10000906,Office Supplies,Paper,Xerox 212,4.23
10001266,Office Supplies,Paper,Xerox 203,3.54
10000634,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",3.24
10003545,Furniture,Tables,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",3.82
10003856,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,3.86
10003370,Office Supplies,Envelopes,Staple envelope,3.94
10000983,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,3.52
10004561,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",3.91
10002925,Office Supplies,Paper,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",3.32
10003969,Furniture,Chairs,Global Executive Mid-Back Manager's Chair,3.85
10001987,Technology,Phones,Panasonic KX TS3282B Corded phone,3.61
10002059,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,3.81
10003927,Office Supplies,Binders,GBC Plastic Binding Combs,3.09
10004903,Furniture,Furnishings,DAX Clear Channel Poster Frame,3.25
10002879,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,3.7
10003213,Office Supplies,Art,Dixon Ticonderoga Pencils,4.01
10001026,Office Supplies,Storage,"Fellowes Mobile File Cart, Black",4.03
10000623,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,3.57
10002499,Office Supplies,Paper,Xerox 1953,3.98
10002815,Furniture,Furnishings,"Ultra Door Kickplate, 8""H x 34""W",4.25
10003397,Office Supplies,Binders,Avery Durable Poly Binders,4.32
10004230,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",4.58
10000239,Office Supplies,Storage,Safco Steel Mobile File Cart,3.44
10003308,Technology,Machines,Zebra ZM400 Thermal Label Printer,3.64
10000468,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,3.39
10004019,Office Supplies,Supplies,Acme Galleria Hot Forged Steel Scissors with Colored Handles,3.65
10004654,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,4.1
10000097,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,3.63
10001149,Office Supplies,Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,3.48
10002525,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",3.41
10000809,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,3.55
10001435,Technology,Phones,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,3.79
10000830,Technology,Accessories,Maxell iVDR EX 500GB Cartridge,3.93
10000263,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,3.88
10000348,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,3.39
10004691,Furniture,Chairs,Bevis Steel Folding Chairs,3.33
10003360,Office Supplies,Paper,"Adams ""While You Were Out"" Message Pads",3.18
10001380,Office Supplies,Art,Prang Drawing Pencil Set,2.24
10004001,Office Supplies,Art,Boston 16765 Mini Stand Up Battery Pencil Sharpener,4.3
10002474,Furniture,Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",3.87
10000605,Office Supplies,Appliances,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,4.02
10001960,Technology,Accessories,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,4.13
10002036,Office Supplies,Storage,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",3.81
10000400,Office Supplies,Paper,Xerox 191,3.88
10002971,Office Supplies,Paper,Things To Do Today Pad,3.92
10003296,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock",2.64
10001158,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,2.89
10003517,Office Supplies,Paper,Xerox 217,3.14
10004641,Office Supplies,Labels,Avery 517,2.44
10003119,Office Supplies,Fasteners,"Super Bands, 12/Pack",4.34
10003443,Office Supplies,Labels,Avery 49,3.91
10003651,Office Supplies,Paper,Xerox 200,3.47
